filename,char,latin,bits
synthetic_braille_dataset\a\a_000.png,अ,a,1
synthetic_braille_dataset\a\a_001.png,अ,a,1
synthetic_braille_dataset\a\a_002.png,अ,a,1
synthetic_braille_dataset\a\a_003.png,अ,a,1
synthetic_braille_dataset\a\a_004.png,अ,a,1
synthetic_braille_dataset\a\a_005.png,अ,a,1
synthetic_braille_dataset\a\a_006.png,अ,a,1
synthetic_braille_dataset\a\a_007.png,अ,a,1
synthetic_braille_dataset\a\a_008.png,अ,a,1
synthetic_braille_dataset\a\a_009.png,अ,a,1
synthetic_braille_dataset\a\a_010.png,अ,a,1
synthetic_braille_dataset\a\a_011.png,अ,a,1
synthetic_braille_dataset\a\a_012.png,अ,a,1
synthetic_braille_dataset\a\a_013.png,अ,a,1
synthetic_braille_dataset\a\a_014.png,अ,a,1
synthetic_braille_dataset\a\a_015.png,अ,a,1
synthetic_braille_dataset\a\a_016.png,अ,a,1
synthetic_braille_dataset\a\a_017.png,अ,a,1
synthetic_braille_dataset\a\a_018.png,अ,a,1
synthetic_braille_dataset\a\a_019.png,अ,a,1
synthetic_braille_dataset\a\a_020.png,अ,a,1
synthetic_braille_dataset\a\a_021.png,अ,a,1
synthetic_braille_dataset\a\a_022.png,अ,a,1
synthetic_braille_dataset\a\a_023.png,अ,a,1
synthetic_braille_dataset\a\a_024.png,अ,a,1
synthetic_braille_dataset\a\a_025.png,अ,a,1
synthetic_braille_dataset\a\a_026.png,अ,a,1
synthetic_braille_dataset\a\a_027.png,अ,a,1
synthetic_braille_dataset\a\a_028.png,अ,a,1
synthetic_braille_dataset\a\a_029.png,अ,a,1
synthetic_braille_dataset\a\a_030.png,अ,a,1
synthetic_braille_dataset\a\a_031.png,अ,a,1
synthetic_braille_dataset\a\a_032.png,अ,a,1
synthetic_braille_dataset\a\a_033.png,अ,a,1
synthetic_braille_dataset\a\a_034.png,अ,a,1
synthetic_braille_dataset\a\a_035.png,अ,a,1
synthetic_braille_dataset\a\a_036.png,अ,a,1
synthetic_braille_dataset\a\a_037.png,अ,a,1
synthetic_braille_dataset\a\a_038.png,अ,a,1
synthetic_braille_dataset\a\a_039.png,अ,a,1
synthetic_braille_dataset\a\a_040.png,अ,a,1
synthetic_braille_dataset\a\a_041.png,अ,a,1
synthetic_braille_dataset\a\a_042.png,अ,a,1
synthetic_braille_dataset\a\a_043.png,अ,a,1
synthetic_braille_dataset\a\a_044.png,अ,a,1
synthetic_braille_dataset\a\a_045.png,अ,a,1
synthetic_braille_dataset\a\a_046.png,अ,a,1
synthetic_braille_dataset\a\a_047.png,अ,a,1
synthetic_braille_dataset\a\a_048.png,अ,a,1
synthetic_braille_dataset\a\a_049.png,अ,a,1
synthetic_braille_dataset\a\a_050.png,अ,a,1
synthetic_braille_dataset\a\a_051.png,अ,a,1
synthetic_braille_dataset\a\a_052.png,अ,a,1
synthetic_braille_dataset\a\a_053.png,अ,a,1
synthetic_braille_dataset\a\a_054.png,अ,a,1
synthetic_braille_dataset\a\a_055.png,अ,a,1
synthetic_braille_dataset\a\a_056.png,अ,a,1
synthetic_braille_dataset\a\a_057.png,अ,a,1
synthetic_braille_dataset\a\a_058.png,अ,a,1
synthetic_braille_dataset\a\a_059.png,अ,a,1
synthetic_braille_dataset\a\a_060.png,अ,a,1
synthetic_braille_dataset\a\a_061.png,अ,a,1
synthetic_braille_dataset\a\a_062.png,अ,a,1
synthetic_braille_dataset\a\a_063.png,अ,a,1
synthetic_braille_dataset\a\a_064.png,अ,a,1
synthetic_braille_dataset\a\a_065.png,अ,a,1
synthetic_braille_dataset\a\a_066.png,अ,a,1
synthetic_braille_dataset\a\a_067.png,अ,a,1
synthetic_braille_dataset\a\a_068.png,अ,a,1
synthetic_braille_dataset\a\a_069.png,अ,a,1
synthetic_braille_dataset\a\a_070.png,अ,a,1
synthetic_braille_dataset\a\a_071.png,अ,a,1
synthetic_braille_dataset\a\a_072.png,अ,a,1
synthetic_braille_dataset\a\a_073.png,अ,a,1
synthetic_braille_dataset\a\a_074.png,अ,a,1
synthetic_braille_dataset\a\a_075.png,अ,a,1
synthetic_braille_dataset\a\a_076.png,अ,a,1
synthetic_braille_dataset\a\a_077.png,अ,a,1
synthetic_braille_dataset\a\a_078.png,अ,a,1
synthetic_braille_dataset\a\a_079.png,अ,a,1
synthetic_braille_dataset\a\a_080.png,अ,a,1
synthetic_braille_dataset\a\a_081.png,अ,a,1
synthetic_braille_dataset\a\a_082.png,अ,a,1
synthetic_braille_dataset\a\a_083.png,अ,a,1
synthetic_braille_dataset\a\a_084.png,अ,a,1
synthetic_braille_dataset\a\a_085.png,अ,a,1
synthetic_braille_dataset\a\a_086.png,अ,a,1
synthetic_braille_dataset\a\a_087.png,अ,a,1
synthetic_braille_dataset\a\a_088.png,अ,a,1
synthetic_braille_dataset\a\a_089.png,अ,a,1
synthetic_braille_dataset\a\a_090.png,अ,a,1
synthetic_braille_dataset\a\a_091.png,अ,a,1
synthetic_braille_dataset\a\a_092.png,अ,a,1
synthetic_braille_dataset\a\a_093.png,अ,a,1
synthetic_braille_dataset\a\a_094.png,अ,a,1
synthetic_braille_dataset\a\a_095.png,अ,a,1
synthetic_braille_dataset\a\a_096.png,अ,a,1
synthetic_braille_dataset\a\a_097.png,अ,a,1
synthetic_braille_dataset\a\a_098.png,अ,a,1
synthetic_braille_dataset\a\a_099.png,अ,a,1
synthetic_braille_dataset\a\a_100.png,अ,a,1
synthetic_braille_dataset\a\a_101.png,अ,a,1
synthetic_braille_dataset\a\a_102.png,अ,a,1
synthetic_braille_dataset\a\a_103.png,अ,a,1
synthetic_braille_dataset\a\a_104.png,अ,a,1
synthetic_braille_dataset\a\a_105.png,अ,a,1
synthetic_braille_dataset\a\a_106.png,अ,a,1
synthetic_braille_dataset\a\a_107.png,अ,a,1
synthetic_braille_dataset\a\a_108.png,अ,a,1
synthetic_braille_dataset\a\a_109.png,अ,a,1
synthetic_braille_dataset\a\a_110.png,अ,a,1
synthetic_braille_dataset\a\a_111.png,अ,a,1
synthetic_braille_dataset\a\a_112.png,अ,a,1
synthetic_braille_dataset\a\a_113.png,अ,a,1
synthetic_braille_dataset\a\a_114.png,अ,a,1
synthetic_braille_dataset\a\a_115.png,अ,a,1
synthetic_braille_dataset\a\a_116.png,अ,a,1
synthetic_braille_dataset\a\a_117.png,अ,a,1
synthetic_braille_dataset\a\a_118.png,अ,a,1
synthetic_braille_dataset\a\a_119.png,अ,a,1
synthetic_braille_dataset\a\a_120.png,अ,a,1
synthetic_braille_dataset\a\a_121.png,अ,a,1
synthetic_braille_dataset\a\a_122.png,अ,a,1
synthetic_braille_dataset\a\a_123.png,अ,a,1
synthetic_braille_dataset\a\a_124.png,अ,a,1
synthetic_braille_dataset\a\a_125.png,अ,a,1
synthetic_braille_dataset\a\a_126.png,अ,a,1
synthetic_braille_dataset\a\a_127.png,अ,a,1
synthetic_braille_dataset\a\a_128.png,अ,a,1
synthetic_braille_dataset\a\a_129.png,अ,a,1
synthetic_braille_dataset\a\a_130.png,अ,a,1
synthetic_braille_dataset\a\a_131.png,अ,a,1
synthetic_braille_dataset\a\a_132.png,अ,a,1
synthetic_braille_dataset\a\a_133.png,अ,a,1
synthetic_braille_dataset\a\a_134.png,अ,a,1
synthetic_braille_dataset\a\a_135.png,अ,a,1
synthetic_braille_dataset\a\a_136.png,अ,a,1
synthetic_braille_dataset\a\a_137.png,अ,a,1
synthetic_braille_dataset\a\a_138.png,अ,a,1
synthetic_braille_dataset\a\a_139.png,अ,a,1
synthetic_braille_dataset\a\a_140.png,अ,a,1
synthetic_braille_dataset\a\a_141.png,अ,a,1
